order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4254,0,1.274161119,0.965,0.332,0,2,Gimap4
4255,0,1.205795764,0.81,0.16,0,2,Txk
4256,0,1.190224712,0.836,0.213,0,2,Il2rb
4257,0,1.124187856,0.603,0.033,0,2,Klrb1f
4258,0,1.084574985,0.949,0.546,0,2,Ccl5
4259,0,1.066564659,0.897,0.31,0,2,Gimap6
4260,0,1.059067492,0.789,0.238,0,2,Gimap5
4261,0,1.032578306,0.475,0.041,0,2,Klri2
4262,0,1.023450835,0.933,0.368,0,2,Ptprcap
4263,0,1.01493673,0.741,0.25,0,2,Pglyrp1
4264,0,0.980971479,0.619,0.185,0,2,Serpinb9
4265,0,0.972197588,0.863,0.309,0,2,1-Sep
4266,0,0.969112116,0.578,0.107,0,2,Ctla2b
4267,0,0.931416557,0.68,0.218,0,2,Cst7
4268,0,0.923755439,0.831,0.284,0,2,Gimap1
4269,0,0.916002901,0.58,0.079,0,2,Samd3
4270,0,0.912501579,0.661,0.179,0,2,Sh2d1a
4271,0,0.910355662,0.863,0.308,0,2,Cd2
4272,0,0.896240478,0.505,0.057,0,2,Eomes
4273,0,0.88162663,0.995,0.944,0,2,Shisa5
4274,0,0.8659772,0.671,0.173,0,2,Serpinb6b
4275,0,0.863998276,0.475,0.087,0,2,Gem
4276,0,0.823325121,0.476,0.065,0,2,Klrc2
4277,0,0.808190466,0.375,0.019,0,2,Klrb1a
4278,0,0.787800817,0.65,0.183,0,2,Sh2d2a
4279,0,0.742052182,0.262,0.009,0,2,Khdc1a
4280,0,0.693860875,0.416,0.069,0,2,Fasl
4281,0,0.629542326,0.498,0.083,0,2,Atp1b1
4282,0,0.384509901,0.212,0.008,0,2,Styk1
4283,0,-1.272377223,0.129,0.737,0,2,Gm2a
4284,0,-1.431504743,0.309,0.806,0,2,Ctsz
4285,0,-1.501300531,0.092,0.689,0,2,Ly86
4286,0,-1.518796866,0.098,0.711,0,2,Spi1
4287,0,-1.527480453,0.109,0.731,0,2,Ctsh
4288,0,-1.553711247,0.514,0.879,0,2,Gpx1
4289,0,-1.611829258,0.183,0.767,0,2,Ifi30
4290,0,-1.688046712,0.116,0.719,0,2,Alox5ap
4291,0,-1.806530341,0.656,0.904,0,2,Psap
4292,0,-1.955346192,0.199,0.74,0,2,Ifitm2
4293,0,-1.997714189,0.498,0.911,0,2,Ctss
4294,0,-1.998180634,0.301,0.87,0,2,Ifi27l2a
4295,0,-2.048565789,0.71,0.916,0,2,Cst3
4296,1.30E-307,-2.37707372,0.368,0.794,1.82E-303,2,Ifitm3
4297,1.68E-305,0.786175731,0.732,0.25,2.35E-301,2,Skap1
4298,7.57E-302,0.875846304,0.962,0.708,1.06E-297,2,H2-Q7
4299,2.01E-301,-1.307474891,0.074,0.661,2.81E-297,2,Pld4
4300,3.47E-301,-1.740985423,0.485,0.84,4.85E-297,2,Lgals3
4301,2.69E-300,-1.553996146,0.482,0.864,3.76E-296,2,Ctsb
4302,4.57E-296,0.988977857,0.951,0.726,6.39E-292,2,Ifngr1
4303,2.21E-295,0.960943106,0.67,0.234,3.09E-291,2,Bcl2
4304,6.57E-295,0.603412034,0.323,0.043,9.19E-291,2,Prf1
4305,6.92E-295,-1.433756154,0.997,0.998,9.68E-291,2,Ftl1
4306,2.48E-294,0.773249504,0.757,0.267,3.46E-290,2,Gimap3
4307,6.26E-294,-1.028627569,0.133,0.708,8.76E-290,2,Rgs10
4308,1.29E-293,0.6077213,0.313,0.04,1.80E-289,2,Camk2n1
4309,2.25E-293,-1.008249274,0.794,0.953,3.15E-289,2,Npc2
4310,1.80E-284,-2.697299871,0.594,0.864,2.52E-280,2,Cd74
4311,4.80E-281,-1.472287949,0.331,0.765,6.71E-277,2,H2-DMa
4312,6.32E-281,0.6974854,0.823,0.298,8.84E-277,2,Lck
4313,1.07E-280,0.627432706,0.992,0.919,1.49E-276,2,Rac2
4314,1.46E-280,0.51669449,0.255,0.024,2.05E-276,2,Arl4d
4315,4.24E-279,-1.310608061,0.161,0.693,5.93E-275,2,Grn
4316,1.18E-278,0.844609213,0.867,0.478,1.65E-274,2,Hcst
4317,1.67E-277,1.003827917,0.645,0.209,2.34E-273,2,Cd7
4318,3.79E-275,-1.31812951,0.166,0.69,5.30E-271,2,Cd68
4319,4.60E-273,-1.739550686,0.145,0.669,6.44E-269,2,Ms4a6c
4320,1.65E-272,0.786556398,0.631,0.214,2.31E-268,2,Gimap9
4321,2.87E-268,0.812274068,0.949,0.622,4.02E-264,2,Id2
4322,3.09E-266,-1.229330726,0.077,0.622,4.31E-262,2,Plbd1
4323,1.59E-263,-1.065453102,0.069,0.62,2.23E-259,2,Mpeg1
4324,1.51E-262,0.499478057,0.305,0.044,2.11E-258,2,Dapk2
4325,2.18E-262,0.884874085,0.478,0.117,3.05E-258,2,Klrc1
4326,7.36E-260,0.767289335,0.562,0.188,1.03E-255,2,Ugcg
4327,5.50E-257,-1.761249439,0.147,0.656,7.69E-253,2,Wfdc17
4328,2.78E-253,-1.483974401,0.071,0.601,3.88E-249,2,Tgfbi
4329,3.18E-252,-1.240160481,0.061,0.597,4.45E-248,2,Cybb
4330,2.77E-247,0.507532629,0.999,0.995,3.87E-243,2,H2-K1
4331,5.76E-246,-1.634845927,0.163,0.649,8.05E-242,2,H2-DMb1
4332,5.78E-246,0.324340749,0.143,0.004,8.08E-242,2,Khdc1c
4333,8.64E-243,-1.011274949,0.439,0.854,1.21E-238,2,Samhd1
4334,1.91E-242,-1.602840161,0.127,0.629,2.67E-238,2,Aif1
4335,1.41E-240,0.71710789,0.428,0.11,1.97E-236,2,Zfp512
4336,1.65E-239,-0.917956671,0.173,0.673,2.30E-235,2,Irf5
4337,2.46E-239,-0.993635787,0.216,0.696,3.45E-235,2,Unc93b1
4338,4.77E-238,-2.692062739,0.619,0.871,6.67E-234,2,Lyz2
4339,6.57E-238,-0.931506802,0.101,0.611,9.18E-234,2,Ccdc109b
4340,6.64E-237,0.944059891,0.471,0.134,9.29E-233,2,Klrb1b
4341,1.28E-236,-0.806925434,0.419,0.815,1.79E-232,2,Erp29
4342,5.29E-236,0.725413804,0.635,0.223,7.40E-232,2,Gimap7
4343,1.01E-235,-2.485177779,0.429,0.768,1.41E-231,2,H2-Aa
4344,3.91E-235,0.80914323,0.513,0.146,5.46E-231,2,Tnfrsf9
4345,3.61E-232,-0.894198218,0.066,0.578,5.05E-228,2,Pirb
4346,4.05E-231,-1.440941592,0.138,0.625,5.66E-227,2,Naaa
4347,4.41E-229,-0.860937662,0.081,0.584,6.17E-225,2,Csf2ra
4348,9.83E-229,0.706298387,0.523,0.163,1.37E-224,2,Hsd11b1
4349,2.27E-228,-0.926047908,0.658,0.893,3.18E-224,2,Atox1
4350,2.39E-227,0.724813903,0.685,0.293,3.34E-223,2,Tnfrsf18
4351,4.31E-227,-1.368536531,0.089,0.585,6.03E-223,2,Ms4a6d
4352,2.81E-226,0.662262152,0.493,0.14,3.93E-222,2,Satb1
4353,2.77E-225,0.922870092,0.263,0.038,3.87E-221,2,Klra3
4354,9.89E-225,0.606796746,0.433,0.111,1.38E-220,2,Gm19585
4355,4.21E-224,-2.392172278,0.334,0.712,5.88E-220,2,H2-Eb1
4356,2.11E-222,0.266469371,0.16,0.009,2.94E-218,2,Gm15518
4357,2.50E-220,-0.868592048,0.087,0.576,3.50E-216,2,Ncf2
4358,3.55E-219,0.650441008,0.967,0.829,4.97E-215,2,Selplg
4359,4.50E-219,-1.196344968,0.093,0.58,6.30E-215,2,Fcgr2b
4360,3.13E-218,-1.01126015,0.061,0.549,4.38E-214,2,Marcks
4361,3.66E-218,-0.906607955,0.074,0.56,5.12E-214,2,Slfn1
4362,7.27E-217,-2.150288502,0.265,0.682,1.02E-212,2,Ccl6
4363,2.63E-215,0.343855848,1,1,3.67E-211,2,Eef1a1
4364,3.07E-214,-0.857524181,0.448,0.812,4.29E-210,2,Anxa5
4365,4.97E-214,-1.086079076,0.402,0.803,6.94E-210,2,S100a4
4366,6.52E-214,-0.81782477,0.225,0.689,9.12E-210,2,Evi2a
4367,5.47E-213,-1.821225967,0.168,0.616,7.65E-209,2,Ccl9
4368,7.33E-213,0.355812848,1,1,1.03E-208,2,Rpl23a
4369,6.10E-212,-1.286150339,0.112,0.581,8.53E-208,2,Lst1
4370,1.74E-211,-1.107996503,0.048,0.528,2.43E-207,2,Clec4a3
4371,7.62E-211,-1.37927014,0.405,0.769,1.07E-206,2,Ctsc
4372,6.62E-210,-2.381821213,0.533,0.81,9.26E-206,2,H2-Ab1
4373,7.28E-210,0.370251379,0.202,0.021,1.02E-205,2,Cuedc1
4374,9.42E-210,-1.024755804,0.054,0.529,1.32E-205,2,Pid1
4375,1.04E-209,-1.040110208,0.071,0.542,1.45E-205,2,Cfp
4376,1.31E-209,-0.783354349,0.059,0.537,1.83E-205,2,Rassf4
4377,4.09E-208,0.272025329,0.136,0.006,5.72E-204,2,Rab27b
4378,7.09E-208,0.764593471,0.65,0.296,9.91E-204,2,Gpr171
4379,7.97E-208,0.673593553,0.658,0.291,1.11E-203,2,Tbc1d10c
4380,2.25E-207,-1.096480523,0.995,0.998,3.15E-203,2,Fth1
4381,2.58E-206,-0.948687179,0.062,0.535,3.60E-202,2,Clec12a
4382,2.65E-204,-0.76405351,0.07,0.542,3.71E-200,2,Gsn
4383,7.67E-204,-0.784766417,0.041,0.509,1.07E-199,2,Lrrc25
4384,1.10E-202,0.317981367,0.176,0.015,1.54E-198,2,Kcnip3
4385,1.16E-202,-0.709699633,0.171,0.642,1.62E-198,2,Skap2
4386,5.41E-202,-0.753581629,0.048,0.511,7.56E-198,2,App
4387,6.21E-202,0.353854342,1,0.999,8.69E-198,2,Rps15a
4388,7.65E-201,0.373416409,1,1,1.07E-196,2,Rpl13a
4389,8.33E-201,-1.489293655,0.093,0.554,1.17E-196,2,Lgmn
4390,3.49E-200,-1.518493693,0.536,0.847,4.88E-196,2,Plac8
4391,4.57E-200,0.252854048,0.133,0.006,6.39E-196,2,Vegfc
4392,1.85E-199,-0.953450665,0.458,0.792,2.59E-195,2,Lamp1
4393,4.67E-199,0.400917299,0.999,0.996,6.53E-195,2,Rpl3
4394,9.26E-198,0.748124629,0.827,0.644,1.29E-193,2,Jak1
4395,6.06E-196,0.712277298,0.718,0.367,8.47E-192,2,H2-Q6
4396,7.03E-196,-0.902083844,0.049,0.503,9.84E-192,2,AF251705
4397,4.58E-194,0.426973129,1,0.995,6.40E-190,2,Tmsb10
4398,5.23E-193,-0.640426227,0.036,0.486,7.31E-189,2,Ifngr2
4399,3.19E-192,0.643274465,0.469,0.147,4.46E-188,2,Il18r1
4400,2.08E-191,-1.080951861,0.091,0.547,2.91E-187,2,Ifi204
4401,5.58E-191,-1.275780739,0.079,0.526,7.80E-187,2,Fcgr1
4402,5.16E-190,-0.995291045,0.054,0.504,7.22E-186,2,Clec4a1
4403,5.76E-190,-0.643727891,0.058,0.509,8.05E-186,2,Plekho1
4404,6.69E-190,0.323094525,0.18,0.018,9.35E-186,2,Emid1
4405,6.13E-188,-0.718501825,0.043,0.489,8.57E-184,2,BC028528
4406,9.48E-188,-0.668359955,0.128,0.576,1.33E-183,2,Asah1
4407,1.35E-187,-0.772765877,0.054,0.501,1.89E-183,2,Hck
4408,2.47E-187,0.48876543,0.298,0.06,3.46E-183,2,Ifitm10
4409,2.02E-185,0.371378524,0.997,0.999,2.83E-181,2,Rpl38
4410,2.43E-184,0.56144501,0.113,0.004,3.39E-180,2,Cma1
4411,2.74E-183,-0.99773346,0.446,0.827,3.84E-179,2,Bst2
4412,1.91E-182,0.441958852,0.988,0.967,2.66E-178,2,Gnas
4413,2.08E-182,0.430063093,0.205,0.027,2.91E-178,2,Spry2
4414,2.64E-182,0.796792052,0.686,0.368,3.70E-178,2,Cd82
4415,4.27E-181,-0.691398397,0.038,0.473,5.97E-177,2,Sirpa
4416,5.13E-180,-1.035730275,0.284,0.696,7.17E-176,2,Msrb1
4417,5.46E-180,0.742583509,0.679,0.332,7.64E-176,2,Serpina3g
4418,6.34E-180,-0.710862295,0.368,0.777,8.87E-176,2,Ptpn6
4419,1.70E-179,0.291456917,1,1,2.37E-175,2,Rps3
4420,7.01E-179,-0.632671466,0.679,0.897,9.80E-175,2,Ucp2
4421,6.26E-178,0.813174061,0.62,0.305,8.75E-174,2,Vps37b
4422,4.47E-177,-0.721869825,0.233,0.658,6.25E-173,2,Hexa
4423,1.63E-175,-0.835231614,0.044,0.469,2.27E-171,2,Csf1r
4424,1.48E-174,-1.010617665,0.056,0.475,2.07E-170,2,Clec4a2
4425,4.87E-174,-0.758657299,0.053,0.477,6.81E-170,2,AI607873
4426,1.30E-172,-0.756577056,0.168,0.601,1.82E-168,2,Prkcd
4427,1.67E-172,-0.825044877,0.265,0.686,2.33E-168,2,Zfp36
4428,4.90E-172,0.269815632,1,1,6.85E-168,2,Rps24
4429,7.58E-172,-0.775605334,0.044,0.459,1.06E-167,2,Cd300a
4430,2.02E-171,0.307053346,1,0.999,2.83E-167,2,Rpl34
4431,4.86E-171,-1.053223517,0.117,0.54,6.79E-167,2,Cdkn1a
4432,7.47E-171,0.595449801,0.897,0.705,1.04E-166,2,Limd2
4433,1.20E-169,-0.681576067,0.059,0.475,1.68E-165,2,Ube2l6
4434,1.71E-169,-0.647093882,0.071,0.49,2.39E-165,2,Tmem106a
4435,3.76E-169,-1.114921403,0.54,0.824,5.26E-165,2,Cstb
4436,6.97E-169,-0.800884451,0.289,0.681,9.74E-165,2,Pnp
4437,6.87E-166,0.645836121,0.662,0.368,9.61E-162,2,Rinl
4438,4.03E-164,0.74623387,0.516,0.211,5.64E-160,2,Dusp2
4439,5.35E-164,0.310344506,1,1,7.48E-160,2,Rpl18a
4440,4.49E-162,0.273789565,1,0.999,6.29E-158,2,Rpl9
4441,5.15E-162,-0.840312638,0.054,0.462,7.20E-158,2,Slamf8
4442,1.68E-160,-0.677207772,0.573,0.853,2.35E-156,2,Capza2
4443,6.46E-160,-0.670013218,0.153,0.573,9.03E-156,2,Lyn
4444,6.95E-160,0.267207131,1,1,9.72E-156,2,Rpl13
4445,4.81E-159,-0.764912373,0.045,0.446,6.73E-155,2,Gda
4446,9.28E-159,-0.636545928,0.233,0.647,1.30E-154,2,Nrros
4447,3.68E-158,0.293670614,1,1,5.14E-154,2,Rplp1
4448,1.36E-157,0.567663748,0.219,0.037,1.90E-153,2,Klrg1
4449,1.54E-157,-0.61633298,0.038,0.434,2.15E-153,2,Csf2rb
4450,8.55E-157,-0.867503556,0.046,0.438,1.20E-152,2,Rnase6
4451,2.07E-156,-0.92922711,0.036,0.428,2.89E-152,2,Sirpb1c
4452,2.72E-156,0.263201162,1,0.999,3.81E-152,2,Rps7
4453,3.71E-156,0.313233907,1,1,5.19E-152,2,Rps27
4454,4.59E-156,-1.543060059,0.354,0.694,6.43E-152,2,Ly6a
4455,1.01E-155,0.407748563,0.14,0.013,1.42E-151,2,Sult2b1
4456,2.46E-155,-0.626702739,0.218,0.628,3.44E-151,2,Lamp2
4457,3.69E-155,-0.537099477,0.648,0.885,5.15E-151,2,Vamp8
4458,2.24E-154,0.503622838,0.949,0.877,3.13E-150,2,Ptprc
4459,3.62E-154,-0.878990287,0.192,0.582,5.07E-150,2,Plin2
4460,1.75E-153,0.639726076,0.713,0.335,2.44E-149,2,Ltb
4461,2.67E-153,0.590453133,0.65,0.324,3.74E-149,2,Cd9
4462,1.25E-152,0.264652036,1,1,1.75E-148,2,Rps14
4463,1.56E-152,-0.662897023,0.235,0.641,2.18E-148,2,Tpd52
4464,2.73E-152,-0.689318073,0.055,0.443,3.81E-148,2,Sdc3
4465,7.34E-152,-0.733997728,0.559,0.849,1.03E-147,2,Tuba1b
4466,1.23E-151,-0.563980956,0.037,0.421,1.72E-147,2,Tifab
4467,1.53E-151,0.341134717,0.996,0.997,2.13E-147,2,Rpl36
4468,5.14E-150,0.537598911,0.403,0.142,7.19E-146,2,Arsb
4469,5.86E-150,0.29424175,1,0.999,8.20E-146,2,Rps18
4470,1.18E-148,-0.931345753,0.431,0.738,1.65E-144,2,Capg
4471,7.23E-148,-1.069493687,0.245,0.627,1.01E-143,2,Isg15
4472,8.74E-148,0.275033711,1,1,1.22E-143,2,Rpl27a
4473,3.83E-145,0.417884283,0.918,0.736,5.35E-141,2,Ctsd
4474,4.80E-145,-0.541821867,0.699,0.899,6.72E-141,2,Akr1a1
4475,1.54E-144,0.278436381,1,1,2.16E-140,2,Rpl10
4476,1.71E-144,-0.610124931,0.336,0.705,2.40E-140,2,Ctsa
4477,5.34E-143,-0.906012039,0.933,0.97,7.46E-139,2,Crip1
4478,8.68E-143,-0.50089368,0.036,0.403,1.21E-138,2,Lmo2
4479,2.62E-142,0.313680933,1,0.999,3.67E-138,2,Rpl39
4480,5.57E-142,-0.520472245,0.194,0.598,7.78E-138,2,Snx20
4481,6.03E-142,0.573803607,0.73,0.484,8.44E-138,2,Cd37
4482,7.03E-142,0.650406477,0.786,0.611,9.84E-138,2,Evl
4483,5.13E-141,-0.548635861,0.15,0.549,7.18E-137,2,Dstn
4484,6.69E-141,-0.566996059,0.396,0.775,9.35E-137,2,Mcl1
4485,9.27E-141,0.49156476,0.336,0.102,1.30E-136,2,Il18rap
4486,1.99E-140,0.323576103,0.2,0.034,2.79E-136,2,Gm14029
4487,3.38E-140,-1.897622131,0.131,0.495,4.72E-136,2,Ccl2
4488,5.02E-139,-0.507122228,0.061,0.429,7.01E-135,2,Cmtm3
4489,9.31E-139,-0.440204556,0.826,0.952,1.30E-134,2,Clta
4490,1.77E-138,-0.892583435,0.043,0.405,2.47E-134,2,Ccr1
4491,4.18E-138,-0.498282642,0.051,0.417,5.85E-134,2,P2rx4
4492,1.65E-137,0.264403124,1,1,2.30E-133,2,Rps5
4493,1.77E-137,-0.942204377,0.277,0.623,2.48E-133,2,Lilrb4a
4494,2.17E-137,-0.574669746,0.094,0.466,3.03E-133,2,Anxa4
4495,3.46E-137,-0.708748578,0.242,0.619,4.84E-133,2,Zeb2
4496,8.35E-137,0.440919468,0.962,0.925,1.17E-132,2,Rpl22l1
4497,9.14E-137,-1.00907597,0.044,0.402,1.28E-132,2,Fcgr4
4498,3.49E-136,0.370670102,0.242,0.053,4.89E-132,2,Rab37
4499,4.68E-136,-0.478661381,0.067,0.431,6.54E-132,2,Ralb
4500,7.05E-136,0.265781924,0.999,0.998,9.87E-132,2,Rpl7
4501,1.06E-135,-0.538961396,0.213,0.604,1.49E-131,2,Sh3bgrl
4502,2.88E-135,-0.999358953,0.06,0.418,4.02E-131,2,Tppp3
4503,3.20E-135,-0.634535143,0.071,0.439,4.47E-131,2,Oasl2
4504,1.43E-134,-0.911894906,0.04,0.393,2.00E-130,2,Mafb
4505,1.50E-133,-0.812550489,0.844,0.912,2.09E-129,2,Vim
4506,5.16E-133,-0.507876191,0.031,0.378,7.22E-129,2,P2ry6
4507,5.73E-133,-0.932158498,0.081,0.443,8.01E-129,2,Mt1
4508,5.96E-133,-0.729531772,0.133,0.502,8.33E-129,2,Mnda
4509,6.88E-133,0.517051094,0.54,0.232,9.62E-129,2,Cd27
4510,1.39E-132,0.517356139,0.917,0.864,1.95E-128,2,Gpx4
4511,1.43E-132,-0.571741715,0.044,0.396,2.00E-128,2,Nrp1
4512,1.67E-132,2.016496547,0.261,0.066,2.33E-128,2,Gzmc
4513,6.66E-132,-0.486135699,0.078,0.439,9.32E-128,2,Ncf1
4514,7.95E-132,0.472657464,0.446,0.171,1.11E-127,2,Stat4
4515,1.65E-131,-0.647245024,0.293,0.654,2.31E-127,2,Snx2
4516,1.46E-130,0.340233467,0.186,0.032,2.04E-126,2,Qrfp
4517,3.32E-130,-0.558911314,0.059,0.409,4.64E-126,2,Cd86
4518,6.49E-130,-0.506219175,0.028,0.372,9.08E-126,2,Eps8
4519,9.33E-129,0.432160294,0.311,0.092,1.30E-124,2,Tbx21
4520,1.18E-128,-0.416792436,0.978,0.993,1.66E-124,2,H3f3a
4521,1.76E-128,-0.629425406,0.041,0.385,2.46E-124,2,Nupr1
4522,2.79E-128,-0.723581656,0.058,0.408,3.91E-124,2,Atf3
4523,3.33E-128,0.487252599,0.542,0.241,4.66E-124,2,Ets1
4524,1.90E-127,0.574726793,0.465,0.211,2.65E-123,2,Cd244
4525,2.03E-127,-0.515911248,0.464,0.791,2.84E-123,2,Atp6v0b
4526,7.61E-127,0.25940288,1,1,1.06E-122,2,Rpl32
4527,9.34E-127,0.504904051,0.3,0.086,1.31E-122,2,Pim2
4528,9.46E-127,-0.968417724,0.037,0.378,1.32E-122,2,Ifitm6
4529,3.14E-126,-0.561065169,0.046,0.388,4.39E-122,2,Batf3
4530,5.77E-126,-0.484884506,0.104,0.461,8.06E-122,2,Cyfip1
4531,1.40E-125,0.270742275,1,0.999,1.96E-121,2,Rpl14
4532,2.00E-125,0.588343891,0.659,0.375,2.80E-121,2,Sell
4533,2.94E-125,-0.618672739,0.762,0.915,4.11E-121,2,Prdx1
4534,1.13E-124,0.275679471,1,0.999,1.58E-120,2,H2-D1
4535,3.75E-124,0.364809424,0.233,0.054,5.25E-120,2,Sytl3
4536,2.11E-123,-0.692046903,0.035,0.369,2.95E-119,2,Msr1
4537,3.58E-123,-0.52565699,0.163,0.522,5.01E-119,2,Rbpj
4538,1.33E-122,0.273648207,0.116,0.011,1.86E-118,2,Cited4
4539,2.13E-122,-0.533648634,0.124,0.476,2.98E-118,2,Gm10116
4540,3.23E-122,0.336950984,0.219,0.048,4.52E-118,2,4930486L24Rik
4541,4.65E-122,-0.596493079,0.045,0.378,6.51E-118,2,Emilin2
4542,6.52E-122,0.561004634,0.461,0.2,9.12E-118,2,Pdcd4
4543,1.48E-121,0.256213314,1,1,2.07E-117,2,Rpl37a
4544,3.57E-121,-0.826546298,0.429,0.786,4.99E-117,2,Ly6c2
4545,4.11E-121,-0.585167796,0.412,0.738,5.74E-117,2,Aprt
4546,1.97E-120,-0.394340951,0.877,0.961,2.76E-116,2,Shfm1
4547,6.38E-120,-1.91549413,0.158,0.489,8.92E-116,2,Apoe
4548,7.35E-120,-0.892112817,0.192,0.534,1.03E-115,2,Bcl2a1d
4549,1.12E-119,-0.556650477,0.031,0.353,1.56E-115,2,Ass1
4550,3.64E-119,-0.858493117,0.716,0.875,5.08E-115,2,Prdx5
4551,6.66E-119,0.545283666,0.739,0.559,9.32E-115,2,B4galnt1
4552,1.07E-118,-0.523337908,0.021,0.34,1.50E-114,2,Igsf6
4553,1.36E-118,-1.00828414,0.406,0.698,1.90E-114,2,Ms4a4c
4554,2.72E-118,0.318915925,0.222,0.051,3.80E-114,2,Ppm1j
4555,1.52E-117,-0.577895218,0.215,0.567,2.13E-113,2,Eif4ebp1
4556,1.56E-117,-0.451820703,0.213,0.595,2.19E-113,2,Tnfaip8
4557,1.57E-116,-0.506948349,0.133,0.48,2.19E-112,2,Nampt
4558,2.06E-116,0.317567647,0.994,0.993,2.88E-112,2,Rpl27
4559,2.09E-116,-0.732960373,0.075,0.402,2.93E-112,2,Ltb4r1
4560,2.20E-116,0.437467736,0.333,0.113,3.08E-112,2,St3gal6
4561,2.45E-116,-0.403246971,0.066,0.399,3.42E-112,2,Scpep1
4562,7.10E-116,-0.47171107,0.027,0.34,9.93E-112,2,Tbxas1
4563,2.20E-115,-0.588307252,0.044,0.36,3.08E-111,2,Slc11a1
4564,6.23E-115,-0.627454302,0.041,0.357,8.71E-111,2,Klra2
4565,9.46E-115,-0.459882006,0.041,0.359,1.32E-110,2,Slc15a3
4566,9.76E-115,-0.589171539,0.264,0.609,1.37E-110,2,Cndp2
4567,2.74E-114,-0.466805622,0.021,0.332,3.83E-110,2,Cd302
4568,5.02E-114,-0.433310717,0.028,0.339,7.02E-110,2,Tifa
4569,6.35E-114,0.309870887,0.173,0.031,8.88E-110,2,Cd55
4570,1.16E-112,-0.748031485,0.1,0.428,1.63E-108,2,Gngt2
4571,1.31E-112,-0.53719138,0.427,0.747,1.83E-108,2,Rrbp1
4572,1.43E-112,-0.497434356,0.978,0.987,2.00E-108,2,Calm1
4573,1.91E-112,-0.48910568,0.127,0.468,2.67E-108,2,Sap30
4574,2.42E-112,-0.660889875,0.124,0.458,3.39E-108,2,Blvrb
4575,3.07E-112,-0.593745008,0.033,0.346,4.29E-108,2,Pkib
4576,9.35E-112,-0.713859579,0.027,0.334,1.31E-107,2,Plaur
4577,1.23E-111,-0.425400988,0.153,0.503,1.72E-107,2,Slc6a6
4578,7.38E-111,-0.425654982,0.061,0.377,1.03E-106,2,Tep1
4579,2.21E-110,-0.88594354,0.045,0.354,3.09E-106,2,Ctsl
4580,2.68E-110,-0.42363945,0.154,0.502,3.74E-106,2,Prcp
4581,4.31E-110,-0.469004886,0.035,0.342,6.03E-106,2,Lrp1
4582,5.43E-110,-0.45848897,0.557,0.851,7.60E-106,2,Scand1
4583,6.24E-110,-0.533825134,0.403,0.739,8.73E-106,2,Ptpn1
4584,9.30E-110,0.465280225,0.411,0.174,1.30E-105,2,Acap1
4585,1.16E-109,0.474516579,0.802,0.732,1.62E-105,2,Dnajc15
4586,1.61E-109,-0.430770754,0.65,0.879,2.25E-105,2,Atp6v1g1
4587,3.11E-109,-0.685627038,0.559,0.788,4.35E-105,2,Ms4a6b
4588,3.92E-109,-1.070191553,0.063,0.377,5.48E-105,2,Hmox1
4589,9.74E-109,0.477092583,0.835,0.751,1.36E-104,2,Epsti1
4590,1.62E-108,-0.77572484,0.097,0.421,2.26E-104,2,Ckb
4591,6.45E-108,-0.413482613,0.024,0.321,9.02E-104,2,Pira2
4592,6.50E-108,-0.424625945,0.259,0.622,9.09E-104,2,Cnih4
4593,1.69E-107,-0.544782182,0.038,0.339,2.36E-103,2,Bst1
4594,1.95E-107,-0.771038535,0.053,0.356,2.72E-103,2,Ifi205
4595,2.42E-107,-0.520653891,0.6,0.825,3.39E-103,2,Dbi
4596,5.47E-107,-1.144087411,0.211,0.531,7.65E-103,2,Gbp2
4597,2.73E-106,-0.821459517,0.041,0.339,3.82E-102,2,C3ar1
4598,5.71E-106,-0.44383827,0.111,0.443,7.99E-102,2,Adssl1
4599,1.50E-105,-0.563305671,0.059,0.366,2.09E-101,2,Phf11d
4600,2.25E-105,0.409674445,0.446,0.19,3.15E-101,2,Ablim1
4601,2.97E-105,-0.513280966,0.725,0.913,4.16E-101,2,S100a6
4602,3.04E-105,-0.541924001,0.031,0.325,4.25E-101,2,Anxa3
4603,1.01E-104,-0.57529646,0.574,0.812,1.41E-100,2,Sdcbp
4604,1.44E-104,0.273956261,0.999,0.998,2.01E-100,2,Rps12
4605,4.43E-104,-0.39519929,0.033,0.327,6.20E-100,2,Aldh3b1
4606,5.32E-104,0.616265133,0.689,0.526,7.44E-100,2,Ubald2
4607,1.01E-103,0.527033748,0.735,0.573,1.42E-99,2,Hmha1
4608,1.22E-103,-0.661431447,0.492,0.754,1.70E-99,2,Zbp1
4609,1.52E-103,-0.901736366,0.096,0.405,2.13E-99,2,Marcksl1
4610,2.42E-103,-0.733065546,0.133,0.459,3.38E-99,2,Ninj1
4611,2.65E-103,-0.488167361,0.083,0.398,3.70E-99,2,Tubb2a
4612,3.53E-103,0.399599319,0.291,0.096,4.93E-99,2,Ppp3cc
4613,4.77E-103,-0.393071924,0.051,0.351,6.67E-99,2,Milr1
4614,5.58E-103,-0.387946094,0.875,0.955,7.80E-99,2,Gabarap
4615,5.80E-103,-0.439701059,0.023,0.308,8.11E-99,2,Cebpa
4616,5.85E-103,-0.374505111,0.063,0.367,8.19E-99,2,Acer3
4617,7.00E-103,-0.664875487,0.271,0.585,9.79E-99,2,Rtp4
4618,8.86E-103,0.368835902,0.272,0.084,1.24E-98,2,Gimap8
